"id","name","alias","description","ordering","checked_out","checked_out_time","published"
"1","Lindenhurst Invitational Drill","Lindenhurst Invitational Drill","<p>Catch the islands top firematic racing teams compete to get the head start on the points race. Parade steps off 9:30AM on Wellwood ave in Lindenhurst, Drill starts 30 minutes after parade...</p>
<p><!--                                --> <span class=""noprint""> <span style=""position: relative; left: 0px; top: -11px;""> <img src=""images/stopwatch_green.png"" border=""0"" /> <span style=""position: relative; left: 3px; top: -4px;""> <a href=""#total""> <span style=""color:green;"">Total Points</span> </a> |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""> <span style=""color: #1a6b97; position: relative; top: 1px;"">Print All</span> </a> |     <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""index.php?option=com_phocamaps&amp;view=map&amp;id=3&amp;Itemid=133""><span style=""color: #1a6b97; position: relative; top: 1px;"">Track</span> </a> |      <span style=""position: relative; left: 0px; top: 4px;""> </span></span></span></span></p>","0","0","0000-00-00 00:00:00","1"
"2","6th Battalion Parade","6th-battalion-parade","<p>
<!--                                --> 

<span class=""noprint"">

<span style=""position: relative; left: 0px; top: -11px;"">
<img src=""images/stopwatch.png"" border=""0"" />

<span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>
        |         


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');"">


<span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>         |         


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""#""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a>         |          

<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' border=""0"" /> </span> 

<!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                -->

<a href=""#"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> 

</span></span>

</span>
</p><span class=""attention"">This Tournament's ranked results and Overall Winner's Scorecard will not be reported in real-time. For live results, please try the <strong>Classic Scorecard</strong> above, provided by <i>Drill Team Radio</i>.</span>","0","0","0000-00-00 00:00:00","1"
"3","2nd Battalion Parade","2nd-battalion-parade","<p>
<!--                                --> 

<span class=""noprint"">

<span style=""position: relative; left: 0px; top: -11px;"">
<img src=""images/stopwatch.png"" border=""0"" />

<span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>
 &nbsp; &nbsp;&nbsp;   |    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');"">


<span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>    &nbsp;&nbsp; &nbsp;&nbsp;|    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""#""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a>&nbsp; &nbsp;&nbsp;     | &nbsp; &nbsp;&nbsp;     

<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' border=""0"" /> </span> 

<!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                -->

<a href=""#"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> 

</span></span>

</span>
</p>","0","0","0000-00-00 00:00:00","1"
"4","North Greece Tournament","north-greece-tournament","<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"5","Spencerport","spencerport","<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","1"
"6","Oyster Bay / North Hempstead","oyster-bay--north-hempstead","<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"7","Town of Brookhaven","town-of-brookhaven","<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |      <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onclick=""alert(&quot;Sorry! The Old-Style scorecard for this event is currently unavailable.&quot;)""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a></span></span></span></p>
<p><span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><span style=""position: relative; left: 3px; top: -4px;""><span style=""color: grey; position: relative; top: 1px;"">Water: 4.66</span></span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"8","Selden Invitational","selden-invitational","<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"9","Wm. St. George Memorial Drill","wm-st-george-memorial-drill","<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"10","Joe Hunter Memorial Drill ","joe-hunter-memorial-drill-","<p>Thursday, July 3rd, Joe Hunter Memorial Drill at Hempstead, Drill Time 6:00pm.<br /><br /></p>
<p>Help honor one of New York's Bravest.  Joe Hunter was a member of the South Hempstead Rascals and FDNY who was killed in the Sept. 11th attacks. The drill was started in 2003 with the top ten finishers of the previous year's state drill invited to attend.</p>
<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |      <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onclick=""alert(""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","1"
"11","Nassau County Motorized Drill","nassau-county-motorized-drill","<br /><br /><p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>     |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>     |      <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"12","Suffolk County Drill","suffolk-county-drill","<br /><br /><p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>     |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>     |      <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"13","Riverhead Invitational","riverhead-invitational","Saturday, July 20th, Riverhead Invitational Drill (Rain Date 7/21), Drill Time 12:00pm.<br /><br /><p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>     |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>     |      <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"14","Central Islip Invitational","central-islip-invitational","<p>
	The 50th Annual Central Islip Invitational Drill starts at 1PM at their track on Wheeler Road. This drill counts for both Nassau & Suffolk County Points. Over 30 teams will be competing in this Inter-County Drill.</p>
<p>
<!--                                --> 

<span class=""noprint"">

<span style=""position: relative; left: 0px; top: -11px;"">
<img src=""images/stopwatch.png"" border=""0"" />

<span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>
 &nbsp; &nbsp;&nbsp;   |    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');"">


<span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>    &nbsp;&nbsp; &nbsp;&nbsp;|    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""#""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a>&nbsp; &nbsp;&nbsp;     | &nbsp; &nbsp;&nbsp;     

<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' border=""0"" /> </span> 

<!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                -->

<a href=""#"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> 

</span></span>

</span>
</p>","0","0","0000-00-00 00:00:00","1"
"15","Hempstead Invitational Drill","hempstead-invitational-drill","<div style=""height: 21px; padding: 10px; background-color: #f1f1f1;""><span style=""color:red; font-weight: bold; font-size:14px;"">Saturday, August 2nd • Drill Time: 12pm</span></div>
<p><br /> The 63rd Annual Hempstead Invitational Drill kicks off at 12:00PM at their track on Weir Street. This drill counts for Nassau County Points. Exit 20N off The Southern State Parkway will lead you to a day of Firematic Drilling.<br /><br /></p>
<p><!--                                --> <span class=""noprint""> <span style=""position: relative; left: 0px; top: -11px;""> <img src=""images/stopwatch.png"" border=""0"" /> <span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |            <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""> <span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |            <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""#""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a> |            <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--  https://docs.google.com/spreadsheet/ccc?key=0AkEOYxGY8F9TdFZkbUROX0E3dGpNb1RuNHczdUpDRGc                           --> <a href=""#""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> </span></span> </span></p>","0","0","0000-00-00 00:00:00","1"
"17","North Bellmore Invitational Drill","north-bellmore-invitational-drill","<div style=""height: 21px; padding: 10px; background-color: #f1f1f1;""><span style=""color:red; font-weight: bold; font-size:14px;"">Saturday</span></div>
<p> </p>
<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |      <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--   https://docs.google.com/spreadsheet/ccc?key=0AkEOYxGY8F9TdEZYNEh5dktGR2psTHk4MWdfc1JZeUE#gid=0                             --><a href=""#""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","1"
