"id","name","alias","description","ordering","checked_out","checked_out_time","published"
"18","New York State Motorized Drill","new-york-state-motorized-drill","<p>Come watch Firefighters from all over New York State compete for the title of New York State Motorized Champions. It's one of the most exciting tournaments of the year and it all begins Saturday, August 15th starting at 9:00am at Ridge.</p>
<p> </p>
<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |     <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |     <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""index.php?option=com_phocamaps&amp;view=map&amp;id=17&amp;Itemid=198""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a> |     <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""https://docs.google.com/spreadsheet/ccc?key=0AkEOYxGY8F9TdFRFZ1M2aTdfc0JQT2lLellsaXNpYmc&amp;pli=1#gid=0"" target=""blank""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","1"
"19","Town of Islip Drill","town-of-islip-drill","<div style=""height:21px; padding:10px; background-color:#F1F1F1;""><span style=""color:red; font-weight: bold; font-size:14px;"">Friday, August 23rd • Drill Time: 5:30pm (Rain Date 8/24)</span></div><br /><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>        |        <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>        |        <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""index.php?option=com_phocamaps&view=map&id=11&Itemid=192""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a>        |        <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--    https://docs.google.com/spreadsheet/ccc?key=0AkEOYxGY8F9TdFlnWnVsR0ZnNDhWVVFHbHVYZ2p0ckE#gid=0                            --><a href=""#""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"20","Labor Day Invitational Drill ","labor-day-invitational-drill-","<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |      <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""https://docs.google.com/spreadsheet/ccc?key=0AkEOYxGY8F9TdG13UFpjZDd6QjdKWGJxR2dadE1FckE#gid=0"" target=""blank""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> ClassicScorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"21","West Hempstead Labor Day Drill","west-hempstead-labor-day-drill","<div style=""height: 21px; padding: 10px; background-color: #f1f1f1;""><span style=""color:red; font-weight: bold; font-size:14px;"">Monday, September 7th • Drill Time: 10am / (Rain Date 9/12)</span></div>
<p><br /><br /></p>
<!--                                -->
<p><span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |   <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""> <span style=""color: #3b758d; position: relative; top: 1px;"">Print All</span></a> |    <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""index.php?option=com_phocamaps&amp;view=map&amp;id=4&amp;Itemid=134""><span style=""color: #3b758d; position: relative; top: 1px;"">Track Location</span></a></span></span></span></p>","0","0","0000-00-00 00:00:00","1"
"22","Town of Babylon Drill","town-of-babylon-drill","<div style=""padding: 10px; height: 21px; background-color: #f1f1f1;""><span style=""color:red; font-weight: bold; font-size:14px;"">Friday, August 28, 2015 • Drill Time: 5:30pm</span></div>
<p><br /><br /></p>
<!--                                -->
<p><span class=""noprint""><span style=""left: 0px; top: -11px; position: relative;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""left: 3px; top: -4px; position: relative;""><a href=""#total""> Overall Winners' Scorecard</a> |   <span style=""left: 0px; top: 4px; position: relative;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""> <span style=""top: 1px; color: #3b758d; position: relative;"">Print All</span></a> |    <span style=""left: 0px; top: 4px; position: relative;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""index.php?option=com_phocamaps&amp;view=map&amp;id=3&amp;Itemid=133""><span style=""top: 1px; color: #3b758d; position: relative;"">Track Location</span></a></span></span></span></p>","0","0","0000-00-00 00:00:00","1"
"23","5th Battalion Drill","5th-battalion-drill","<p>
<!--                                --> 

<span class=""noprint"">

<span style=""position: relative; left: 0px; top: -11px;"">
<img src=""images/stopwatch.png"" border=""0"" />

<span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>
 &nbsp; &nbsp;&nbsp;   |    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');"">


<span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>    &nbsp;&nbsp; &nbsp;&nbsp;|    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""#""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a>&nbsp; &nbsp;&nbsp;     | &nbsp; &nbsp;&nbsp;     

<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' border=""0"" /> </span> 

<!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                -->

<a href=""#"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> 

</span></span>

</span>
</p>","0","0","0000-00-00 00:00:00","0"
"24","2,3,4,Battalion Drill","234battalion-drill","<p>
<!--                                --> 

<span class=""noprint"">

<span style=""position: relative; left: 0px; top: -11px;"">
<img src=""images/stopwatch.png"" border=""0"" />

<span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>
 &nbsp; &nbsp;&nbsp;   |    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');"">


<span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>    &nbsp;&nbsp; &nbsp;&nbsp;|    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""#""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a>&nbsp; &nbsp;&nbsp;     | &nbsp; &nbsp;&nbsp;     

<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' border=""0"" /> </span> 

<!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                -->

<a href=""#"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> 

</span></span>

</span>
</p>","0","0","0000-00-00 00:00:00","0"
"25","Nassau County Old-Fashioned","nassau-county-old-fashioned","<p>Friday, July 11th, Nassau County Old Fashioned Drill                              Water: 4.75<br /><br /></p>
<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |      <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onclick=""alert(&quot;Sorry! The Old-Style scorecard for this event is currently unavailable.&quot;)""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"26","New York State Old Fashioned Drill","ny-state-old-fashioned-drill","<div style=""height: 21px; padding: 10px; background-color: #f1f1f1;""></div>
<p> </p>
<!--                                -->
<p>Come watch New Yorks Old Fashioned Drill teams prove they are the fastest as they compete for the title of New York State Old Fashioned Champions.</p>
<p> </p>
<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |     <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |     <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""https://docs.google.com/spreadsheet/ccc?key=0AkEOYxGY8F9TdFpaMlNjMWEwMEZmNFpRRmtTVnVWdlE#gid=0"" target=""blank""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","1"
"27","Bayville Old Fashioned Charity Drill","bayville-old-fashioned-charity-drill","<p><!--                                --> <span class=""noprint""> <span style=""position: relative; left: 0px; top: -11px;""> <img src=""images/stopwatch.png"" border=""0"" /> <span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |            <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""> <span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |            <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""#""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a> |            <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --> <a href=""https://docs.google.com/spreadsheet/ccc?key=0AkEOYxGY8F9TdEFnS21TcXJtYm9SQ1NvaU5IdnV0bGc""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> </span></span> </span></p>
<p><span class=""attention"">This Tournament's ranked results and Overall Winner's Scorecard will not be reported in real-time. For live results, please try the <strong>Classic Scorecard</strong> above, provided by <em>Drill Team Radio</em>.</span></p>","0","0","0000-00-00 00:00:00","0"
"28","6th Battalion Drill","6th-battalion-drill","<div style=""height:21px; padding:10px; background-color:#F1F1F1;""><span style=""color:red; font-weight: bold; font-size:14px;"">Friday, September 20th • Drill Time: 7pm @North Bellmore at Merrick 4-Towns</div>

<br /><br />

<!--                                --> 
<span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>

    |   <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');"">
<span style=""color: #3B758D; position: relative; top: 1px;"">Print All</span></a>  

   |    <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""index.php?option=com_phocamaps&view=map&id=1&Itemid=32""><span style=""color: #3B758D; position: relative; top: 1px;"">Track Location</span></a>","0","0","0000-00-00 00:00:00","0"
"29","Sea Breeze Invitational Drill","sea-breeze-invitational-drill","<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"30","North Greece Invitational Drill","north-greece-invitational-drill","<p><br /><br /></p>
<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |      <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |      <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onclick=""alert(&quot;Sorry! The Old-Style scorecard for this event is currently unavailable.&quot;)""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"31","Henrietta Invitational Drill","henrietta-invitational-drill","<p>
<!--                                --> 

<span class=""noprint"">

<span style=""position: relative; left: 0px; top: -11px;"">
<img src=""images/stopwatch.png"" border=""0"" />

<span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>
 &nbsp; &nbsp;&nbsp;   |    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');"">


<span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>    &nbsp;&nbsp; &nbsp;&nbsp;|    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""#""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a>&nbsp; &nbsp;&nbsp;     | &nbsp; &nbsp;&nbsp;     

<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' border=""0"" /> </span> 

<!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                -->

<a href=""#"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> 

</span></span>

</span>
</p>","0","0","0000-00-00 00:00:00","0"
"32","Main-Transit Invitational Drill (RP)","main-transit-invitational-drill","<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>&nbsp;&nbsp;&nbsp;&nbsp; |  &nbsp;&nbsp;&nbsp;&nbsp;<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                --><a href=""#"" onClick='alert(""Sorry! The Old-Style scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","0"
"33","Joe & Kathy Bennett Memorial Drill","joe-a-kathy-bennett-memorial-drill","<p>
	Come and support the Dansville Fire Department and help them honor Past Area Rep Joe Bennett and wife Kathy Bennett.</p>
<p>
<!--                                --> 

<span class=""noprint"">

<span style=""position: relative; left: 0px; top: -11px;"">
<img src=""images/stopwatch.png"" border=""0"" />

<span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a>
 &nbsp; &nbsp;&nbsp;   |    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');"">


<span style=""color: grey; position: relative; top: 1px;"">Print All</span></a>    &nbsp;&nbsp; &nbsp;&nbsp;|    &nbsp; &nbsp;&nbsp; 


<span style=""position: relative; left: 0px; top: 4px;""><img src=""images/trackIcon.gif"" border=""0"" /> </span><a href=""#""><span style=""color: grey; position: relative; top: 1px;"">Track</span></a>&nbsp; &nbsp;&nbsp;     | &nbsp; &nbsp;&nbsp;     

<span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg""  border=""0"" /> </span> 

<!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--                                -->

<a href=""#"" onClick='alert(""Sorry! The Classic scorecard for this event is currently unavailable."")' ""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Classic Scorecard</span></a> 

</span></span>

</span>
</p>","0","0","0000-00-00 00:00:00","1"
"34","Spencerport Invitational Drill","spencerport-invitational-drill","<div style=""height: 24px; padding: 10px; background-color: #f1f1f1;""><span style=""color:red; font-weight: bold; font-size:14px;"">Saturday, August 1st • Drill Time: 11am</span></div>
<p><br /><br /></p>
<p><!--                                --> <span class=""noprint""><span style=""position: relative; left: 0px; top: -11px;""><img src=""images/stopwatch.png"" border=""0"" /><span style=""position: relative; left: 3px; top: -4px;""><a href=""#total""> Overall Winners' Scorecard</a> |     <span style=""position: relative; left: 0px; top: 4px;""><img src=""images/print_btn_gs.jpg"" border=""0"" /> </span><a href=""javascript:void(0)"" onclick=""printSection('eventsplusscorecard');""><span style=""color: grey; position: relative; top: 1px;"">Print All</span></a> |      <span style=""position: relative; left: 0px; top: 4px;""> <img src=""images/stopwatch_gs.jpg"" border=""0"" /> </span> <!--  ************ EDIT HREF LINK TO OLD-STYLE SCORECARD HERE ************ --><!--  https://docs.google.com/spreadsheet/ccc?key=0AkEOYxGY8F9TdG1MVTlNVXhsRVJtazFRV2FFNGdjLVE                              --><a href=""#""> <!--                                --><!--                                --><span style=""color: grey; position: relative; top: 1px;""> Old-Style Scorecard</span></a> </span></span></span></p>","0","0","0000-00-00 00:00:00","1"
